"","Category","Percent Change 2005-2006","Percent Change 2008-2009","Total Percent Change"
"1","Live meat animals",10.385956450527,-27.7594172304604,38.1453736809874
"2","Vegetable oils",24.4205039096438,-8.34933812444498,32.7698420340888
"3","Sugar and candy",25.4209896893888,-5.69506850070293,31.1160581900917
"4","Grains",17.515860276695,-10.2544429006905,27.7703031773855
"5","Beverages",11.0069615743025,-7.72540000330922,18.7323615776117
"6","Other edible products",5.71558915537018,-10.9997051017399,16.7152942571101
"7","Meats",-9.44299148628346,2.40895564687544,11.8519471331589
"8","Cocoa and chocolate",-3.98070887238766,4.98249394021006,8.96320281259772
"9","Dairy",-2.15540180947313,-5.61797752808989,7.77337933756302
"10","Coffee, tea, and spices",4.63716611257596,-3.12981561188161,7.76698172445757
"11","Fruits",3.89350392341854,-2.82639204193668,6.71989596535522
"12","Fish and Shellfish",5.35063752276868,-0.159971560611438,5.51060908338012
"13","Nuts",-0.214395099540576,4.89098408956983,5.10537918911041
"14","Vegetables",3.99691455198037,-0.439086917391662,4.43600146937203
