"","U.S. food import volume, by food group","Year","Imports"
"1","Foods",2024,505100
"2","Foods",2023,416800
"3","Foods",2022,401100
"4","Foods",2021,370800
"5","Foods",2020,368400
"6","Foods",2019,384200
"7","Foods",2018,364000
"8","Foods",2017,367000
"9","Foods",2016,385200
"10","Foods",2015,354900
"11","Foods",2014,295900
"12","Foods",2013,273200
"13","Foods",2012,281700
"14","Foods",2011,242700
"15","Foods",2010,244800
"16","Foods",2009,285600
"17","Foods",2008,302600
"18","Foods",2007,359600
"19","Foods",2006,367700
"20","Foods",2005,375800
"21","Foods",2004,341800
"22","Foods",2003,335100
"23","Foods",2002,329900
"24","Foods",2001,323500
"25","Foods",2000,297100
"26","Foods",1999,298800
