"","U.S. food import volume, by food group","Category","Measurement","Year","Imports"
"1","Foods","Live meat animals","1,000 head",2024,8802.4
"2","Foods","Live meat animals","1,000 head",2023,8744.7
"3","Foods","Live meat animals","1,000 head",2022,8134.9
"4","Foods","Live meat animals","1,000 head",2021,8440.9
"5","Foods","Live meat animals","1,000 head",2020,7397.3
"6","Foods","Live meat animals","1,000 head",2019,7139.2
"7","Foods","Live meat animals","1,000 head",2018,7124.5
"8","Foods","Live meat animals","1,000 head",2017,7363.3
"9","Foods","Live meat animals","1,000 head",2016,7336.2
"10","Foods","Live meat animals","1,000 head",2015,7661.2
"11","Foods","Live meat animals","1,000 head",2014,7232.6
"12","Foods","Live meat animals","1,000 head",2013,6947.3
"13","Foods","Live meat animals","1,000 head",2012,7909.8
"14","Foods","Live meat animals","1,000 head",2011,7872.7
"15","Foods","Live meat animals","1,000 head",2010,7997.6
"16","Foods","Live meat animals","1,000 head",2009,8350
"17","Foods","Live meat animals","1,000 head",2008,11558.6
"18","Foods","Live meat animals","1,000 head",2007,12419.5
"19","Foods","Live meat animals","1,000 head",2006,10985.5
"20","Foods","Live meat animals","1,000 head",2005,9951.9
"21","Foods","Live meat animals","1,000 head",2004,9866.3
"22","Foods","Live meat animals","1,000 head",2003,9223.2
"23","Foods","Live meat animals","1,000 head",2002,8302.9
"24","Foods","Live meat animals","1,000 head",2001,7758.1
"25","Foods","Live meat animals","1,000 head",2000,6521.8
"26","Foods","Live meat animals","1,000 head",1999,6058.4
"27","Foods","Meats","1,000 mt",2024,2531.3
"28","Foods","Meats","1,000 mt",2023,2156.7
"29","Foods","Meats","1,000 mt",2022,2201.7
"30","Foods","Meats","1,000 mt",2021,2076.9
"31","Foods","Meats","1,000 mt",2020,1886.9
"32","Foods","Meats","1,000 mt",2019,1795.5
"33","Foods","Meats","1,000 mt",2018,1821.2
"34","Foods","Meats","1,000 mt",2017,1847.8
"35","Foods","Meats","1,000 mt",2016,1824.8
"36","Foods","Meats","1,000 mt",2015,1942.8
"37","Foods","Meats","1,000 mt",2014,1720.2
"38","Foods","Meats","1,000 mt",2013,1400.5
"39","Foods","Meats","1,000 mt",2012,1336.6
"40","Foods","Meats","1,000 mt",2011,1270.1
"41","Foods","Meats","1,000 mt",2010,1371.5
"42","Foods","Meats","1,000 mt",2009,1445.4
"43","Foods","Meats","1,000 mt",2008,1411.4
"44","Foods","Meats","1,000 mt",2007,1628.2
"45","Foods","Meats","1,000 mt",2006,1627.4
"46","Foods","Meats","1,000 mt",2005,1797.1
"47","Foods","Meats","1,000 mt",2004,1839.2
"48","Foods","Meats","1,000 mt",2003,1659.3
"49","Foods","Meats","1,000 mt",2002,1700
"50","Foods","Meats","1,000 mt",2001,1634
"51","Foods","Meats","1,000 mt",2000,1578.1
"52","Foods","Meats","1,000 mt",1999,1439.6
"53","Foods","Fish and Shellfish","1,000 mt",2024,2861.5
"54","Foods","Fish and Shellfish","1,000 mt",2023,2820
"55","Foods","Fish and Shellfish","1,000 mt",2022,3086.4
"56","Foods","Fish and Shellfish","1,000 mt",2021,3051.1
"57","Foods","Fish and Shellfish","1,000 mt",2020,2729.3
"58","Foods","Fish and Shellfish","1,000 mt",2019,2648.9
"59","Foods","Fish and Shellfish","1,000 mt",2018,2718.8
"60","Foods","Fish and Shellfish","1,000 mt",2017,2621.8
"61","Foods","Fish and Shellfish","1,000 mt",2016,2553.5
"62","Foods","Fish and Shellfish","1,000 mt",2015,2496.3
"63","Foods","Fish and Shellfish","1,000 mt",2014,2450
"64","Foods","Fish and Shellfish","1,000 mt",2013,2378.4
"65","Foods","Fish and Shellfish","1,000 mt",2012,2361.5
"66","Foods","Fish and Shellfish","1,000 mt",2011,2345.6
"67","Foods","Fish and Shellfish","1,000 mt",2010,2342
"68","Foods","Fish and Shellfish","1,000 mt",2009,2246.8
"69","Foods","Fish and Shellfish","1,000 mt",2008,2250.4
"70","Foods","Fish and Shellfish","1,000 mt",2007,2284.6
"71","Foods","Fish and Shellfish","1,000 mt",2006,2313.5
"72","Foods","Fish and Shellfish","1,000 mt",2005,2196
"73","Foods","Fish and Shellfish","1,000 mt",2004,2116.7
"74","Foods","Fish and Shellfish","1,000 mt",2003,2078.6
"75","Foods","Fish and Shellfish","1,000 mt",2002,1898.3
"76","Foods","Fish and Shellfish","1,000 mt",2001,1755.2
"77","Foods","Fish and Shellfish","1,000 mt",2000,1710.9
"78","Foods","Fish and Shellfish","1,000 mt",1999,1677.8
"79","Foods","Dairy","1,000 mt",2024,505.1
"80","Foods","Dairy","1,000 mt",2023,416.8
"81","Foods","Dairy","1,000 mt",2022,401.1
"82","Foods","Dairy","1,000 mt",2021,370.8
"83","Foods","Dairy","1,000 mt",2020,368.4
"84","Foods","Dairy","1,000 mt",2019,384.2
"85","Foods","Dairy","1,000 mt",2018,364
"86","Foods","Dairy","1,000 mt",2017,367
"87","Foods","Dairy","1,000 mt",2016,385.2
"88","Foods","Dairy","1,000 mt",2015,354.9
"89","Foods","Dairy","1,000 mt",2014,295.9
"90","Foods","Dairy","1,000 mt",2013,273.2
"91","Foods","Dairy","1,000 mt",2012,281.7
"92","Foods","Dairy","1,000 mt",2011,242.7
"93","Foods","Dairy","1,000 mt",2010,244.8
"94","Foods","Dairy","1,000 mt",2009,285.6
"95","Foods","Dairy","1,000 mt",2008,302.6
"96","Foods","Dairy","1,000 mt",2007,359.6
"97","Foods","Dairy","1,000 mt",2006,367.7
"98","Foods","Dairy","1,000 mt",2005,375.8
"99","Foods","Dairy","1,000 mt",2004,341.8
"100","Foods","Dairy","1,000 mt",2003,335.1
"101","Foods","Dairy","1,000 mt",2002,329.9
"102","Foods","Dairy","1,000 mt",2001,323.5
"103","Foods","Dairy","1,000 mt",2000,297.1
"104","Foods","Dairy","1,000 mt",1999,298.8
"105","Foods","Vegetables","1,000 mt",2024,13819.6
"106","Foods","Vegetables","1,000 mt",2023,13831.3
"107","Foods","Vegetables","1,000 mt",2022,13691.2
"108","Foods","Vegetables","1,000 mt",2021,13318.1
"109","Foods","Vegetables","1,000 mt",2020,12257.7
"110","Foods","Vegetables","1,000 mt",2019,11743.6
"111","Foods","Vegetables","1,000 mt",2018,11645.6
"112","Foods","Vegetables","1,000 mt",2017,11053.6
"113","Foods","Vegetables","1,000 mt",2016,10573.1
"114","Foods","Vegetables","1,000 mt",2015,9717.4
"115","Foods","Vegetables","1,000 mt",2014,9560.5
"116","Foods","Vegetables","1,000 mt",2013,8976.3
"117","Foods","Vegetables","1,000 mt",2012,8614.3
"118","Foods","Vegetables","1,000 mt",2011,8429.5
"119","Foods","Vegetables","1,000 mt",2010,8076.2
"120","Foods","Vegetables","1,000 mt",2009,7301.2
"121","Foods","Vegetables","1,000 mt",2008,7333.4
"122","Foods","Vegetables","1,000 mt",2007,7190.6
"123","Foods","Vegetables","1,000 mt",2006,6606.3
"124","Foods","Vegetables","1,000 mt",2005,6352.4
"125","Foods","Vegetables","1,000 mt",2004,6222.8
"126","Foods","Vegetables","1,000 mt",2003,5935.4
"127","Foods","Vegetables","1,000 mt",2002,5561.8
"128","Foods","Vegetables","1,000 mt",2001,5120.8
"129","Foods","Vegetables","1,000 mt",2000,4742.2
"130","Foods","Vegetables","1,000 mt",1999,4781.1
"131","Foods","Fruits","1,000 mt",2024,15438.5
"132","Foods","Fruits","1,000 mt",2023,15206.9
"133","Foods","Fruits","1,000 mt",2022,15144.7
"134","Foods","Fruits","1,000 mt",2021,14753.6
"135","Foods","Fruits","1,000 mt",2020,14183.1
"136","Foods","Fruits","1,000 mt",2019,13900.7
"137","Foods","Fruits","1,000 mt",2018,14065.3
"138","Foods","Fruits","1,000 mt",2017,13624.4
